"","star_results.CbriggsaeAligned.sortedByCoord.out.bam","star_results.Cbriggsae_rep2Aligned.sortedByCoord.out.bam","star_results.Cbriggsae_rep3Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep1Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep2Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep3Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep1Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep2Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep3Aligned.sortedByCoord.out.bam","star_results.hybrid_rep1Aligned.sortedByCoord.out.bam","star_results.hybrid_rep2Aligned.sortedByCoord.out.bam","star_results.hybrid_rep3Aligned.sortedByCoord.out.bam"
"WBGene00037748__Cni-pde-12",136,243,170,110,55,80,158,154,30,30,44,36
"WBGene00037747__Cni-hex-3",332,252,258,200,141,167,231,198,172,374,191,270
"WBGene00087412__Cni-Y39A1C.1",32,62,36,16,58,38,2,4,42,32,98,6
"WBGene00037746__Cni-oxi-1",228,136,152,140,106,94,210,245,122,162,274,105
"WBGene00037746__Cni-cey-4",228,136,152,140,106,94,210,245,122,162,274,105
"WBGene00037744__Cni-vps-50",276,400,218,88,68,46,112,159,152,80,222,40
"WBGene00037742__Cni-C44B9.2",1298,1754,1158,496,505,570,423,420,414,576,338,338
"WBGene00037741__Cni-C44B9.3",38,68,6,12,12,24,42,38,0,0,2,0
"WBGene00037740__Cni-athp-1",178,176,214,56,60,50,102,104,66,90,163,80
"WBGene00037739__Cni-com-1",104,218,118,78,66,80,140,198,70,86,156,6
"WBGene00037738__Cni-unc-119",192,174,230,108,64,84,184,268,238,202,100,102
"WBGene00037737__Cni-Y39A1A.2",176,280,250,74,126,226,108,66,96,144,210,54
"WBGene00037736__Cni-W06F12.3",216,250,288,200,216,276,79,96,26,136,156,66
"WBGene00037735__Cni-W06F12.2",248,114,110,80,97,90,164,241,134,137,276,161
"WBGene00037734__Cni-F47G6.3",278,140,70,128,64,94,62,24,34,30,134,104
"WBGene00037733__Cni-lit-1",434,528,387,160,136,39,366,524,384,252,580,272
"WBGene00037732__Cni-cul-2",1058,1572,985,934,618,1042,1143,1804,1049,1249,1620,760
"WBGene00037731__Cnig_chr_III.g9684",96,126,62,28,14,16,32,94,0,53,44,50
"WBGene00037731__Cni-sid-2",96,126,62,28,14,16,32,94,0,53,44,50
"WBGene00037728__Cni-tyr-2",166,196,110,16,78,98,88,118,36,84,44,12
"WBGene00037727__Cni-cut-6",0,0,0,12,12,0,2,8,12,0,0,0
"WBGene00037726__Cni-vab-7",8,16,12,4,0,10,2,6,6,32,0,0
"WBGene00037725__Cni-M142.5",422,540,310,290,272,250,278,434,292,339,386,264
"WBGene00037724__Cni-M142.8",88,106,56,62,68,68,126,120,128,52,38,38
"WBGene00037723__Cni-rle-1",2154,2203,1478,793,659,497,1160,880,996,1421,2150,768
"WBGene00037722__Cni-strd-1",222,314,280,214,174,118,118,211,126,204,46,36
"WBGene00037721__Cni-zig-5",156,100,88,74,40,90,60,76,54,146,162,92
"WBGene00037720__Cni-W05B2.2",0,14,18,2,0,0,0,14,0,8,0,0
"WBGene00037719__Cni-R08H2.10",189,235,214,410,612,419,152,84,168,274,126,187
"WBGene00037718__Cni-mlc-7",26,0,0,0,6,0,8,50,18,47,118,20
"WBGene00037717__Cni-toca-2",583,683,510,172,169,199,216,204,168,181,156,66
"WBGene00037716__Cni-dbn-1",381,449,390,182,102,82,338,381,257,493,431,256
"WBGene00037715__Cni-K08E3.5",1780,2490,1914,1304,1121,964,1438,2279,1556,2190,3028,1554
"WBGene00037714__Cni-cyk-4",1561,1336,1161,740,460,524,766,1080,738,520,482,250
"WBGene00037708__Cni-W05B2.7",40,22,28,80,43,20,20,50,58,77,0,66
"WBGene00037708__Cnig_chr_III.g9707",40,22,28,80,43,20,20,50,58,77,0,66
"WBGene00037708__Cni-dhc-4",40,22,28,80,43,20,20,50,58,77,0,66
"WBGene00037707__Cnig_chr_III.g9709",1492,2235,1197,2740,2690,1794,2708,2396,1838,2370,3246,2282
"WBGene00037706__Cni-T25C8.1",42,40,12,0,18,0,26,0,10,2,40,0
"WBGene00037706__Cnig_chr_III.g9711",42,40,12,0,18,0,26,0,10,2,40,0
"WBGene00037706__Cni-T12D8.9",42,40,12,0,18,0,26,0,10,2,40,0
"WBGene00037706__Cni-hip-1",42,40,12,0,18,0,26,0,10,2,40,0
"WBGene00037703__Cnig_chr_III.g9714",439,644,432,394,393,452,596,660,551,595,666,544
"WBGene00037702__Cni-taf-9",199,298,150,100,88,140,144,150,80,106,78,42
"WBGene00037701__Cni-T12D8.5",588,1091,892,118,242,294,760,1230,639,634,1108,524
"WBGene00037700__Cnig_chr_III.g9718",126,214,50,32,84,58,124,98,126,170,228,78
"WBGene00037699__Cni-acbp-5",134,178,102,104,60,72,82,76,100,74,76,28
"WBGene00270553__Cni-T12D8.10",32,108,56,32,68,30,54,56,94,68,64,26
"WBGene00037697__Cni-drr-2",701,728,264,306,330,401,334,718,313,350,298,302
"WBGene00037696__Cni-set-16",500,362,260,158,82,84,346,381,191,253,354,194
"WBGene00037695__Cni-aqp-11",364,590,312,156,246,312,333,317,272,318,364,360
"WBGene00037694__Cni-flp-15",100,116,120,102,94,52,142,216,76,218,486,74
"WBGene00037691__Cni-osm-7",77,176,149,60,126,48,285,180,150,91,196,194
"WBGene00037690__Cni-twk-40",20,26,12,8,0,0,10,8,0,14,0,0
"WBGene00037690__Cnig_chr_III.g9731",20,26,12,8,0,0,10,8,0,14,0,0
"WBGene00037689__Cnig_chr_III.g9732",1134,1610,912,1117,1259,1295,496,432,334,842,938,722
"WBGene00037685__Cni-Y48A6B.3",424,444,272,368,464,354,532,562,376,196,174,90
"WBGene00037684__Cni-exos-1",100,82,34,70,98,98,106,138,98,120,10,42
"WBGene00037682__Cnig_chr_III.g9736",24,16,18,32,18,22,22,30,0,78,68,6
"WBGene00037681__Cni-Y48A6B.7",258,458,103,120,192,246,158,175,160,214,244,112
"WBGene00037680__Cni-Y48A6B.9",140,134,10,90,68,84,96,104,38,106,62,24
"WBGene00270503__Cni-C26E6.12",98,92,88,74,66,100,110,58,94,66,82,90
"WBGene00037653__Cni-rars-1",592,924,599,961,675,968,1093,1448,1208,980,858,526
"WBGene00037652__Cni-cee-1",496,675,475,368,266,245,338,476,234,533,263,194
"WBGene00037650__Cni-F26F4.2",88,155,82,63,68,26,86,104,38,108,20,48
"WBGene00037649__Cni-F26F4.12",42,86,92,62,82,72,84,66,92,52,94,60
"WBGene00037648__Cni-rom-1",34,62,158,38,48,50,136,150,164,146,62,78
"WBGene00270498__Cni-F26F4.8",328,414,352,212,162,267,198,88,146,140,124,60
"WBGene00037646__Cni-kbp-2",210,200,150,66,32,47,134,130,74,38,80,32
"WBGene00033969__Cnig_chr_III.g9740",1490,1353,1185,772,774,718,1081,1329,1092,1236,1294,668
"WBGene00033971__Cni-rsa-2",819,1153,566,226,328,302,284,296,365,247,180,306
"WBGene00033972__Cni-W09D6.1",34,6,46,0,0,0,12,0,2,0,0,0
"WBGene00033974__Cnig_chr_III.g9744",96,58,20,6,6,18,22,10,50,76,162,0
"WBGene00033975__Cnig_chr_III.g9746",0,18,0,0,0,0,0,1,0,0,0,0
"WBGene00033976__Cnig_chr_III.g9748",108,126,176,30,14,50,14,38,28,0,48,4
"WBGene00033980__Cni-F25F2.1",1140,1684,868,394,328,462,194,252,87,373,154,124
"WBGene00033981__Cni-W09D6.5",728,711,518,552,599,463,867,860,775,1342,2602,1090
"WBGene00033982__Cnig_chr_III.g9755",114,174,188,99,46,61,172,151,118,205,385,140
"WBGene00033983__Cni-Y48A6C.4",82,140,88,130,102,98,100,110,82,94,0,48
"WBGene00087268__Cnig_chr_III.g9777",62,58,35,52,0,48,18,2,10,18,0,26
"WBGene00033986__Cnig_chr_III.g9779",2479,2830,1903,831,1232,1102,579,722,540,754,553,606
"WBGene00033987__Cni-tra-1",2060,1195,1570,610,506,346,878,754,814,1589,2280,1262
"WBGene00033988__Cni-wht-8",434,800,506,604,401,582,176,184,106,314,192,194
"WBGene00033989__Cnig_chr_III.g9785",9121,11600,7534,3707,4822,4697,769,649,566,1895,1393,1301
"WBGene00033990__Cnig_chr_III.g9786",0,0,20,0,0,0,0,0,0,0,0,0
"WBGene00033993__Cni-T28D6.4",84,226,134,40,38,56,108,62,80,82,178,80
"WBGene00033994__Cni-T28D6.7",527,694,484,166,124,148,70,123,78,76,124,168
"WBGene00033996__Cnig_chr_III.g9791",640,688,634,456,374,318,512,571,340,470,330,126
"WBGene00033996__Cni-T28D6.5",640,688,634,456,374,318,512,571,340,470,330,126
"WBGene00033996__Cni-T28D6.6",640,688,634,456,374,318,512,571,340,470,330,126
"WBGene00033998__Cni-mcm-10",292,222,94,64,50,22,62,182,82,84,44,28
"WBGene00033999__Cnig_chr_III.g9797",178,178,172,44,24,21,110,60,74,54,107,46
"WBGene00034000__Cnig_chr_III.g9798",190,320,150,112,170,108,226,208,160,202,277,140
"WBGene00034001__Cni-smc-3",389,544,330,258,264,176,596,494,443,152,378,204
"WBGene00034002__Cni-mib-1",1384,1820,1249,316,310,319,298,232,228,309,160,230
"WBGene00034003__Cni-gly-9",682,770,647,456,434,481,314,270,256,382,472,162
"WBGene00034004__Cni-Y47D3A.21",345,510,154,332,382,248,338,420,356,262,242,212
"WBGene00271073__Cni-Y47D3A.20",20,68,36,38,38,50,56,18,2,68,84,10
"WBGene00034005__Cnig_chr_III.g9804",1367,1426,1022,672,675,764,653,887,634,767,734,631
"WBGene00034005__Cni-obr-1",1367,1426,1022,672,675,764,653,887,634,767,734,631
"WBGene00034006__Cnig_chr_III.g9806",44,43,50,4,19,40,40,23,31,37,10,19
"WBGene00087278__Cnig_chr_III.g9807",0,4,23,0,0,0,10,16,6,0,0,0
"WBGene00034007__Cni-rsks-1",1200,1804,1174,1040,684,950,1545,2209,1444,1837,2203,1030
"WBGene00034008__Cni-aakb-2",523,696,590,388,371,316,572,599,476,540,878,382
"WBGene00034009__Cni-Y47D3A.14",62,88,84,82,62,98,142,115,110,50,44,50
"WBGene00034010__Cni-T28D6.3",1761,2219,1060,480,622,439,614,836,540,562,694,406
"WBGene00034011__Cnig_chr_III.g9814",166,124,134,76,64,80,106,6,92,80,50,30
"WBGene00034012__Cni-srd-74",0,2,14,0,0,3,0,0,2,0,0,0
"WBGene00271074__Cni-C24H11.5",28,4,6,0,0,2,0,4,0,0,0,0
"WBGene00034013__Cni-mdt-21",48,70,78,28,12,12,22,74,35,52,50,8
"WBGene00034014__Cni-immp-1",116,122,118,84,82,156,90,196,65,84,64,38
"WBGene00034015__Cni-gbf-1",3329,2774,3165,1809,1254,1501,1732,2336,1600,2621,3331,1894
"WBGene00034016__Cnig_chr_III.g9820",762,728,617,620,534,599,444,814,634,478,572,426
"WBGene00034017__Cni-mrt-2",30,106,60,32,22,28,30,86,56,22,0,0
"WBGene00034018__Cni-sup-1",275,256,184,58,20,104,140,186,145,312,62,110
"WBGene00034020__Cni-Y41C4A.18",210,384,258,160,76,156,30,56,54,26,158,12
"WBGene00034021__Cni-Y41C4A.12",74,72,18,8,18,8,70,42,8,80,46,28
"WBGene00034027__Cni-elb-1",171,281,159,158,181,237,221,249,109,217,270,192
"WBGene00034028__Cni-Y41C4A.9",216,162,156,110,46,52,110,108,58,68,73,42
"WBGene00034031__Cnig_chr_III.g9835",11312,15679,6263,9626,12436,10022,13081,5092,7464,3902,4713,4821
"WBGene00034035__Cni-Y41C4A.7",248,244,222,134,152,190,96,142,94,90,82,8
"WBGene00271695__Cni-faah-6",124,34,14,72,6,58,14,8,8,58,30,55
"WBGene00034037__Cni-crh-1",448,524,344,128,140,175,328,278,236,330,350,285
"WBGene00034039__Cni-gly-8",173,230,102,174,178,234,236,98,97,286,440,134
"WBGene00034040__Cni-gyg-2",38,48,80,28,22,22,24,34,22,0,56,0
"WBGene00034041__Cni-Y66A7A.4",252,408,262,377,244,500,162,230,130,157,78,134
"WBGene00271076__Cni-Y66A7A.9",296,336,206,206,116,240,118,140,114,261,232,116
"WBGene00034042__Cni-Y66D12A.3",414,538,376,198,232,247,100,70,64,94,46,77
"WBGene00034044__Cni-Y66D12A.7",178,51,62,26,30,74,57,110,28,74,16,28
"WBGene00034045__Cni-Y66D12A.8",340,141,48,186,124,138,136,180,92,130,62,30
"WBGene00034046__Cnig_chr_III.g9844",526,526,370,578,618,742,673,592,859,566,194,262
"WBGene00034047__Cnig_chr_III.g9843",88,60,68,72,120,70,126,146,52,74,20,38
"WBGene00034048__Cnig_chr_III.g9842",1395,1626,1184,558,692,716,366,284,242,570,196,450
"WBGene00034049__Cnig_chr_III.g9841",368,574,472,206,216,150,162,178,160,210,166,102
"WBGene00034050__Cni-ztf-29",14,46,48,14,16,16,46,12,42,32,0,64
"WBGene00034051__Cni-Y66D12A.13",179,210,284,46,44,136,142,94,58,348,148,129
"WBGene00034052__Cni-gip-1",422,486,424,240,231,240,269,585,280,360,360,230
"WBGene00034053__Cni-Y66D12A.14",20,0,0,10,6,0,0,0,12,0,0,0
"WBGene00034054__Cni-xpb-1",246,232,226,202,236,174,318,308,392,226,288,100
"WBGene00087280__Cni-Y66D12A.16",412,720,396,122,80,116,42,24,84,86,86,46
"WBGene00034055__Cni-such-1",140,206,126,108,52,46,86,116,48,6,18,0
"WBGene00270501__Cni-Y66D12A.19",506,555,287,62,49,61,69,78,64,32,51,14
"WBGene00034056__Cni-spe-6",848,1125,696,506,654,596,314,196,264,354,302,282
"WBGene00034057__Cni-Y66D12A.21",82,250,88,84,117,180,134,76,82,137,160,102
"WBGene00034058__Cni-tin-10",118,144,138,168,240,102,52,84,88,84,80,76
"WBGene00034060__Cni-Y66D12A.24",127,114,70,70,50,60,64,46,48,10,52,6
"WBGene00034060__Cni-nars-2",127,114,70,70,50,60,64,46,48,10,52,6
"WBGene00087281__Cnig_chr_III.g9874",136,99,86,15,6,28,0,0,10,0,0,0
"WBGene00034063__Cni-plr-1",74,84,48,24,32,20,52,38,30,98,52,46
"WBGene00034064__Cni-sbp-1",269,278,133,158,64,124,232,324,242,280,460,198
"WBGene00034065__Cni-Y47D3B.6",14,0,14,0,0,0,0,16,4,0,0,56
"WBGene00034066__Cni-twk-31",132,198,176,57,35,50,159,364,256,348,562,202
"WBGene00034067__Cni-Y47D3B.4",14,28,38,0,0,0,6,0,8,0,0,12
"WBGene00034069__Cnig_chr_III.g9885",14,14,22,0,0,0,6,0,0,20,0,0
"WBGene00034070__Cnig_chr_III.g9886",6,0,0,68,20,112,2,0,24,16,44,16
"WBGene00303410__Cni-C35D10.3",96,208,122,52,48,46,40,22,24,56,0,40
"WBGene00271078__Cni-Y47D3B.12",18,60,56,26,12,0,24,6,14,50,20,0
"WBGene00034068__Cni-Y47D3B.3",0,6,0,0,0,0,0,0,0,0,0,0
"WBGene00034071__Cni-nlp-21",200,383,194,78,142,142,216,414,236,510,322,150
"WBGene00034072__Cni-Y47D3B.1",34,28,0,0,0,0,18,26,12,0,0,0
"WBGene00034073__Cni-twk-39",30,68,12,4,8,0,12,8,26,36,4,0
"WBGene00034074__Cni-C18D11.7",0,8,0,0,0,0,0,0,0,0,0,0
"WBGene00034075__Cni-C18D11.1",234,206,110,74,118,88,116,60,54,202,262,100
"WBGene00034076__Cni-maa-1",127,242,80,20,76,40,56,82,42,56,198,24
"WBGene00034077__Cni-C18D11.3",298,485,372,476,330,266,278,332,262,496,278,189
"WBGene00034078__Cni-rsp-8",736,935,457,450,316,418,433,481,234,341,305,292
"WBGene00034080__Cni-ntl-3",426,504,298,172,204,196,294,456,287,425,159,211
"WBGene00034094__Cni-taf-12",212,160,179,66,43,92,122,102,57,120,19,4
"WBGene00034094__Cni-Y56A3A.6",212,160,179,66,43,92,122,102,57,120,19,4
"WBGene00034094__Cnig_chr_III.g9906",212,160,179,66,43,92,122,102,57,120,19,4
"WBGene00034094__Cni-tsen-2",212,160,179,66,43,92,122,102,57,120,19,4
"WBGene00034094__Cnig_chr_III.g9909",212,160,179,66,43,92,122,102,57,120,19,4
"WBGene00034094__Cnig_chr_III.g9910",212,160,179,66,43,92,122,102,57,120,19,4
"WBGene00034094__Cni-Y56A3A.16",212,160,179,66,43,92,122,102,57,120,19,4
"WBGene00034094__Cni-Y56A3A.19",212,160,179,66,43,92,122,102,57,120,19,4
"WBGene00034094__Cni-npp-16",212,160,179,66,43,92,122,102,57,120,19,4
"WBGene00034101__Cni-Y56A3A.22",1,0,0,0,0,0,9,0,0,0,16,2
"WBGene00034103__Cni-Y56A3A.36",72,70,108,22,16,50,30,38,2,30,0,0
"WBGene00034104__Cni-Y56A3A.7",310,284,272,90,94,124,294,184,188,225,364,138
"WBGene00034105__Cni-top-3",74,172,164,81,74,42,86,91,62,14,104,26
"WBGene00034106__Cni-Y56A3A.28",104,90,106,89,52,58,138,225,96,70,158,10
"WBGene00270526__Cnig_chr_III.g9924",0,0,2,0,0,0,6,6,0,0,0,0
"WBGene00034108__Cni-Y56A3A.31",364,384,298,68,60,70,118,232,178,74,132,36
"WBGene00034109__Cni-wah-1",973,1471,838,914,686,778,626,658,616,628,533,467
"WBGene00034110__Cni-Y56A3A.33",164,187,198,0,0,0,16,8,28,42,24,170
"WBGene00034111__Cni-ZK673.6",578,580,362,324,330,386,186,146,84,282,298,200
"WBGene00037645__Cni-brp-1",6503,9463,7139,3910,4182,4289,8142,9400,7414,8623,16682,9498
"WBGene00270542__Cnig_chr_III.g9935",0,0,0,2,0,0,0,0,0,0,0,0
"WBGene00037641__Cni-Y79H2A.3",512,662,538,166,92,116,246,486,320,268,392,156
"WBGene00037640__Cni-arx-3",386,610,318,402,366,346,582,611,538,610,686,302
"WBGene00037639__Cnig_chr_III.g9939",720,1022,823,648,676,757,586,753,560,628,502,380
"WBGene00037638__Cnig_chr_III.g9941",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00037637__Cnig_chr_III.g9942",8,6,0,0,0,0,0,18,0,0,0,0
"WBGene00270521__Cnig_chr_III.g9943",2,58,14,0,0,0,0,0,0,0,0,0
"WBGene00087399__Cnig_chr_III.g9944",190,274,302,6,2,53,70,86,71,91,48,30
"WBGene00037636__Cni-snpc-1.3",166,254,186,6,4,12,14,40,22,8,0,0
"WBGene00037635__Cnig_chr_III.g9948",434,430,354,626,476,750,294,176,215,506,478,211
"WBGene00037634__Cni-unc-116",2265,2652,1741,1554,1475,1220,2016,1917,1612,2779,3295,1978
"WBGene00087396__Cni-R05D3.8",129,100,96,197,107,210,172,206,126,145,96,88
"WBGene00037633__Cni-rfp-1",287,287,153,145,108,133,345,303,292,296,370,156
"WBGene00037631__Cni-R05D3.9",76,164,75,38,64,38,62,117,123,32,16,33
"WBGene00037631__Cni-R05D3.3",76,164,75,38,64,38,62,117,123,32,16,33
"WBGene00037631__Cnig_chr_III.g9954",76,164,75,38,64,38,62,117,123,32,16,33
"WBGene00037630__Cnig_chr_III.g9955",440,498,350,192,128,88,56,58,44,40,26,48
"WBGene00037629__Cni-R05D3.2",1166,1378,892,573,314,604,511,838,654,772,1268,476
"WBGene00037628__Cni-met-2",404,488,465,316,206,124,510,624,384,408,264,216
"WBGene00037627__Cni-R05D3.12",118,140,106,18,72,24,98,76,90,24,14,4
"WBGene00037624__Cni-ZK353.4",206,284,252,62,74,88,41,40,52,82,46,44
"WBGene00037623__Cni-ZK353.10",38,0,0,0,0,1,2,4,0,12,0,0
"WBGene00087395__Cni-ZK353.3",260,234,142,78,40,68,6,6,6,18,0,16
"WBGene00037621__Cni-F07A5.2",1955,2378,1748,1104,1306,1205,376,491,344,764,716,571
"WBGene00037620__Cni-ZK353.2",16,0,64,2,0,2,26,28,6,4,0,0
"WBGene00037620__Cni-lap-1",16,0,64,2,0,2,26,28,6,4,0,0
"WBGene00037618__Cnig_chr_III.g9971",91,182,168,131,134,180,118,184,80,180,32,52
"WBGene00037617__Cnig_chr_III.g9972",564,702,516,278,223,244,240,335,222,422,398,204
"WBGene00037616__Cnig_chr_III.g9973",248,116,120,98,86,90,226,198,164,142,312,104
"WBGene00037615__Cnig_chr_III.g9974",202,212,162,108,68,74,113,200,114,90,0,12
"WBGene00037614__Cnig_chr_III.g9975",206,148,148,18,4,24,32,51,29,24,0,32
"WBGene00037612__Cnig_chr_III.g9976",118,168,106,84,96,102,103,228,76,150,260,140
"WBGene00037611__Cni-ZK1236.1",102,84,80,72,101,104,72,148,98,48,68,42
"WBGene00037611__Cni-ZK1236.5",102,84,80,72,101,104,72,148,98,48,68,42
"WBGene00037610__Cni-ZK1236.9",38,14,54,10,0,4,8,0,22,20,0,0
"WBGene00037609__Cni-pqn-96",234,316,215,42,66,44,70,146,60,70,92,60
"WBGene00037608__Cni-ufbp-1",382,541,470,182,210,204,250,190,112,152,58,126
"WBGene00037607__Cni-hsp-110",4323,5334,3666,2342,1967,1948,1675,1781,1632,4364,5595,4748
"WBGene00037606__Cni-rpn-3",2907,4292,2538,1618,1289,1517,1479,2042,1312,2141,2322,1523
"WBGene00037605__Cni-mrpl-32",102,260,152,62,52,98,98,58,22,78,110,32
"WBGene00037604__Cni-mig-39",63,84,4,28,8,34,16,42,40,60,48,18
"WBGene00037604__Cni-F42H10.6",63,84,4,28,8,34,16,42,40,60,48,18
"WBGene00037602__Cni-F42H10.3",260,270,114,40,134,131,216,268,234,402,471,256
"WBGene00037600__Cni-ess-2",212,274,150,90,76,78,138,82,60,182,274,69
"WBGene00037599__Cni-F42H10.2",38,34,30,34,24,18,20,50,8,0,24,0
"WBGene00037598__Cni-pac-1",1168,860,788,372,201,287,622,721,554,852,662,542
"WBGene00037594__Cnig_chr_III.g9995",162,280,174,120,88,59,268,184,184,230,244,160
"WBGene00037594__Cnig_chr_III.g9997",162,280,174,120,88,59,268,184,184,230,244,160
"WBGene00037593__Cni-glr-1",122,54,10,6,12,1,28,30,44,16,0,46
"WBGene00037592__Cni-doxa-1",76,118,24,12,14,12,38,18,40,48,40,40
"WBGene00037591__Cnig_chr_III.g10003",0,28,0,0,0,0,1,0,0,0,0,0
"WBGene00037590__Cni-C02D5.2",30,114,30,10,12,12,24,62,26,46,0,0
"WBGene00037589__Cnig_chr_III.g10010",744,1106,744,599,616,610,464,702,514,616,678,743
"WBGene00037588__Cni-ZC21.6",22,4,12,24,0,0,20,20,10,0,0,2
"WBGene00037587__Cni-trp-1",26,26,0,24,30,6,43,124,66,8,50,50
"WBGene00037586__Cnig_chr_III.g10013",290,332,248,120,110,180,34,84,2,52,2,74
"WBGene00037585__Cnig_chr_III.g10014",976,904,881,760,816,707,246,260,256,436,402,378
"WBGene00087387__Cnig_chr_III.g10015",112,230,42,8,14,14,54,23,10,30,197,24
"WBGene00037584__Cni-C09H5.7",295,502,310,182,244,436,144,116,98,254,84,91
"WBGene00271081__Cnig_chr_III.g10017",12,26,0,66,42,90,26,42,16,44,30,16
"WBGene00037583__Cni-evl-14",456,402,260,118,168,89,205,572,160,351,304,104
"WBGene00037582__Cni-dcn-1",529,680,419,293,347,340,583,565,570,477,782,502
"WBGene00037581__Cni-tag-131",423,490,404,202,214,235,316,254,253,488,266,154
"WBGene00037581__Cnig_chr_III.g10022",423,490,404,202,214,235,316,254,253,488,266,154
"WBGene00037580__Cni-gly-6",263,311,102,58,60,94,136,118,144,128,258,88
"WBGene00037579__Cni-cdk-12",469,420,290,252,188,144,463,356,232,450,530,282
"WBGene00037578__Cni-B0285.3",62,36,35,55,34,30,33,45,12,42,0,50
"WBGene00037577__Cni-B0285.4",276,356,370,288,274,281,313,592,312,452,348,410
"WBGene00037576__Cni-hse-5",114,152,148,22,42,56,104,150,52,90,156,80
"WBGene00037575__Cni-B0285.6",28,58,14,28,5,12,44,26,48,54,21,54
"WBGene00037574__Cni-mnp-1",78,112,136,10,26,44,272,274,210,553,574,152
"WBGene00087384__Cnig_chr_III.g10036",114,46,20,10,8,12,50,22,26,50,22,86
"WBGene00087384__Cni-F56F4.3",114,46,20,10,8,12,50,22,26,50,22,86
"WBGene00037572__Cnig_chr_III.g10039",32,14,16,0,0,0,0,0,0,0,0,0
"WBGene00271589__Cnig_chr_III.g10040",42,54,42,3,4,18,4,22,2,3,61,9
"WBGene00037571__Cnig_chr_III.g10045",16,48,68,13,28,18,80,67,84,83,126,60
"WBGene00037570__Cnig_chr_III.g10046",453,758,313,335,310,358,132,192,60,212,86,130
"WBGene00037569__Cnig_chr_III.g10047",4898,5361,4042,4287,5446,4015,1613,1497,1415,2543,2095,2236
"WBGene00037568__Cni-R07E5.4",4,0,0,40,24,0,0,0,2,10,65,18
"WBGene00037566__Cni-snfc-5",179,322,255,170,120,190,325,351,236,205,38,275
"WBGene00037564__Cni-prdx-3",2322,3248,1870,1868,2737,1942,1572,1180,786,1341,982,990
"WBGene00037563__Cni-R07E5.1",138,140,170,66,78,104,148,208,90,52,192,74
"WBGene00037562__Cni-R07E5.13",245,213,194,143,216,205,116,164,101,120,64,54
"WBGene00037561__Cni-R01H2.4",328,244,68,138,96,150,8,24,14,16,0,28
"WBGene00087382__Cnig_chr_III.g10056",130,261,166,156,66,140,36,4,36,51,0,12
"WBGene00087382__Cni-R07E5.11",130,261,166,156,66,140,36,4,36,51,0,12
"WBGene00037555__Cni-nex-3",92,124,68,78,76,54,174,228,163,188,104,88
"WBGene00037554__Cni-ceh-43",10,30,8,14,14,50,24,0,16,68,48,44
"WBGene00037553__Cni-ndg-4",338,324,212,284,291,232,332,364,284,313,728,266
"WBGene00037552__Cni-ifet-1",1743,1691,1602,1087,761,706,1668,1709,1417,1283,1450,910
"WBGene00037551__Cni-rps-1",8073,11767,6818,8135,10290,8305,10581,12262,8831,8097,6268,5209
"WBGene00037549__Cni-atf-7",842,1166,792,680,603,600,790,1014,737,1580,2400,986
"WBGene00037548__Cni-cct-5",1641,2310,1476,1444,1388,1167,2033,2294,2010,2628,2818,1565
"WBGene00037547__Cnig_chr_III.g10074",252,240,308,187,57,68,380,376,320,168,258,112
"WBGene00037546__Cni-F44D12.6",272,212,178,212,264,204,88,50,82,196,0,116
"WBGene00037544__Cnig_chr_III.g10171",195,264,190,129,76,144,171,199,92,325,652,308
"WBGene00037543__Cni-mrps-34",70,288,100,91,96,125,122,156,160,182,279,78
"WBGene00037542__Cni-cisd-3.1",196,196,126,150,306,212,156,168,194,208,28,54
"WBGene00037541__Cni-M88.4",6,16,0,10,6,0,12,20,18,24,90,12
"WBGene00037540__Cni-zbp-1",956,1114,874,750,487,500,1032,1304,832,994,1126,422
"WBGene00037539__Cni-pan-1",208,273,262,60,74,62,222,228,226,210,466,128
"WBGene00037538__Cni-mlcd-1",511,610,476,440,390,466,368,299,266,346,406,165
"WBGene00037537__Cni-idhg-1",2620,3508,2714,3031,2860,2648,2089,2272,1514,2444,1912,1253
"WBGene00037536__Cni-sel-5",427,336,428,128,158,174,261,256,194,274,374,262
"WBGene00037535__Cni-wdr-48",442,464,312,125,60,112,174,362,186,180,168,114
"WBGene00037534__Cni-F35G12.12",595,990,640,528,520,474,284,350,270,282,204,116
"WBGene00037533__Cni-F35G12.5",856,934,628,0,2,0,8,2,0,8,0,13
"WBGene00037532__Cni-F35G12.7",102,196,116,22,28,58,64,22,60,18,38,12
"WBGene00037531__Cni-smc-4",1158,1196,971,476,294,293,965,1301,707,772,478,322
"WBGene00037529__Cni-apc-11",330,428,404,82,148,114,138,121,38,60,50,24
"WBGene00037526__Cnig_chr_III.g10095",1556,1402,1200,730,470,498,895,910,728,1058,1238,566
"WBGene00037526__Cni-mab-21",1556,1402,1200,730,470,498,895,910,728,1058,1238,566
"WBGene00037526__Cni-sel-2",1556,1402,1200,730,470,498,895,910,728,1058,1238,566
"WBGene00037525__Cni-lips-3",20,26,2,0,0,0,6,32,14,0,0,0
